Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-21;Hombre;Otro Municipio;Entre 26 y 35 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;5120;Camareros asalariados;5500;Cajeros y taquilleros (excepto bancos)
ene-21;Mujer;Otro Municipio;Entre 36 y 45 años;Española;3713;Profesionales de apoyo al trabajo y a la educación social;3713;Profesionales de apoyo al trabajo y a la educación social;2625;Especialistas en formación de personal
ene-21;Mujer;Otro Municipio;Entre 26 y 35 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;2934;Directores de cine, de teatro y afines;2922;Periodistas
ene-21;Mujer;Usera;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;5120;Camareros asalariados;9100;Empleados domésticos
ene-21;Mujer;Otro Municipio;Entre 46 y 55 años;Española;9100;Empleados domésticos;5220;Vendedores en tiendas y almacenes;5710;Trabajadores de los cuidados personales a domicilio
ene-21;Mujer;Carabanchel;Entre 46 y 55 años;Española;8159;Operadores de máquinas para fabricar productos textiles no clasificados bajo otros epígrafes;5710;Trabajadores de los cuidados personales a domicilio;9229;Otro personal de limpieza
ene-21;Mujer;Chamartín;Entre 36 y 45 años;Española;9310;Ayudantes de cocina;5220;Vendedores en tiendas y almacenes;5710;Trabajadores de los cuidados personales a domicilio
ene-21;Hombre;Arganzuela;Entre 26 y 35 años;Española;;;;;;
ene-21;Hombre;Villaverde;Entre 26 y 35 años;Extracomunitaria;;;;;;
ene-21;Mujer;Villa De Vallecas;Entre 36 y 45 años;Extracomunitaria;;;;;;
ene-21;Mujer;Latina;Entre 36 y 45 años;Española;;;;;;
ene-21;Hombre;Otro Municipio;Entre 36 y 45 años;Española;5220;Vendedores en tiendas y almacenes;4123;Empleados de logística y transporte de pasajeros y mercancías;;
ene-21;Hombre;Otro Municipio;Entre 46 y 55 años;Española;9811;Peones del transporte de mercancías y descargadores;8412;Conductores asalariados de automóviles, taxis y furgonetas;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines
ene-21;Hombre;Moratalaz;Entre 46 y 55 años;Española;6120;Trabajadores cualificados en huertas, invernaderos, viveros y jardines;3326;Técnicos en prevención de riesgos laborales y salud ambiental;;
