,Fecha de Inscripción,Género,Distrito,Tramos de Edad,Nacionalidad,Objetivo Profesional 1
962,feb-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Española,Diseñadores gráficos y multimedia
971,feb-21,Mujer,Usera,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
976,feb-21,Hombre,Vicálvaro,Entre 36 y 45 años,Española,Peluqueros
979,feb-21,Mujer,Fuencarral-el Pardo,Entre 26 y 35 años,Extracomunitaria,Empleados de contabilidad
984,feb-21,Mujer,Villa De Vallecas,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
988,feb-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Empleados de contabilidad
990,feb-21,Mujer,Otro Municipio,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
991,feb-21,Hombre,Fuencarral-el Pardo,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
992,feb-21,Mujer,Salamanca,Entre 36 y 45 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
993,feb-21,Mujer,Vicálvaro,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
994,feb-21,Mujer,Arganzuela,Menor de 25 años,Española,Vendedores en tiendas y almacenes
995,feb-21,Mujer,Villa De Vallecas,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
996,feb-21,Mujer,Ciudad Lineal,Entre 26 y 35 años,Española,Economistas
